"UserAccount Name","herkky"
"Title","Trip 2026/05/11 12:39 P.M. Krabi"
"Comment",""
"Vehicle Nickname","KLE500"
"Distance",
"Time",189
"R.Score",

"elapsed_msec","gps_latitude","gps_longitude","instant_fuel_consumption","water_temperature","boost_temperature","engine_RPM","wheel_speed","acceleration","throttle_position","boost_pressure","gear_position","brake_pressure_fr_caliper","lean_angle","rideology_score"
197.979996,8.076692,98.909058,0.000000,99.000000,0.000000,4863,55,0.000000,0,0,3,0.000000,0,0
198.979996,8.076808,98.908989,0.000000,99.000000,0.000000,5262,58,0.000000,0,0,3,0.000000,0,0
199.979996,8.076935,98.908920,0.000000,99.000000,0.000000,5557,61,0.000000,0,0,3,0.000000,0,0
200.979996,8.077068,98.908844,0.000000,99.000000,0.000000,5588,62,0.000000,0,0,4,0.000000,0,0
201.979996,8.077207,98.908760,0.000000,99.000000,0.000000,4429,61,0.000000,0,0,4,0.000000,0,0
202.979996,8.077343,98.908676,0.000000,99.000000,0.000000,4482,61,0.000000,0,0,4,0.000000,0,0
203.979996,8.077474,98.908600,0.000000,99.000000,0.000000,4534,62,0.000000,0,0,4,0.000000,0,0
204.979996,8.077604,98.908524,0.000000,98.000000,0.000000,4642,63,0.000000,0,0,4,0.000000,0,0
205.979996,8.077742,98.908440,0.000000,98.000000,0.000000,4694,63,0.000000,0,0,4,0.000000,0,0
206.979996,8.077880,98.908363,0.000000,98.000000,0.000000,4751,64,0.000000,0,0,4,0.000000,0,0
207.979996,8.078025,98.908279,0.000000,98.000000,0.000000,4733,65,0.000000,0,0,4,0.000000,0,0
208.979996,8.078167,98.908195,0.000000,97.000000,0.000000,4751,65,0.000000,0,0,4,0.000000,0,0
209.979996,8.078313,98.908119,0.000000,97.000000,0.000000,4574,63,0.000000,0,0,4,0.000000,0,0
210.979996,8.078452,98.908043,0.000000,96.000000,0.000000,4407,61,0.000000,0,0,4,0.000000,0,0
211.979996,8.078588,98.907974,0.000000,96.000000,0.000000,4355,60,0.000000,0,0,4,0.000000,0,0
212.979996,8.078717,98.907898,0.000000,96.000000,0.000000,4419,60,0.000000,0,0,4,0.000000,0,0
213.979996,8.078842,98.907814,0.000000,96.000000,0.000000,4482,61,0.000000,0,0,4,0.000000,0,0
214.979996,8.078965,98.907730,0.000000,96.000000,0.000000,4521,61,0.000000,0,0,4,0.000000,0,0
215.979996,8.079097,98.907646,0.000000,96.000000,0.000000,4592,62,0.000000,0,0,4,0.000000,0,0
216.979996,8.079234,98.907570,0.000000,96.000000,0.000000,4694,63,0.000000,0,0,4,0.000000,0,0
217.979996,8.079373,98.907494,0.000000,96.000000,0.000000,4713,64,0.000000,0,0,4,0.000000,0,0
218.979996,8.079515,98.907410,0.000000,96.000000,0.000000,4773,65,0.000000,0,0,4,0.000000,0,0
219.979996,8.079657,98.907326,0.000000,96.000000,0.000000,4773,65,0.000000,0,0,4,0.000000,0,0
220.979996,8.079802,98.907242,0.000000,96.000000,0.000000,4594,63,0.000000,0,0,4,0.000000,0,0
221.979996,8.079942,98.907166,0.000000,96.000000,0.000000,4414,61,0.000000,0,0,4,0.000000,0,0
222.979996,8.080076,98.907082,0.000000,96.000000,0.000000,4448,60,0.000000,0,0,4,0.000000,0,0
223.979996,8.080206,98.907013,0.000000,96.000000,0.000000,4583,62,0.000000,0,0,4,0.000000,0,0
224.979996,8.080339,98.906937,0.000000,96.000000,0.000000,4712,64,0.000000,0,0,4,0.000000,0,0
225.979996,8.080482,98.906860,0.000000,96.000000,0.000000,4815,66,0.000000,0,0,4,0.000000,0,0
226.979996,8.080635,98.906792,0.000000,96.000000,0.000000,5000,67,0.000000,0,0,4,0.000000,0,0
227.979996,8.080793,98.906723,0.000000,96.000000,0.000000,5110,69,0.000000,0,0,4,0.000000,0,0
228.979996,8.080956,98.906654,0.000000,96.000000,0.000000,5255,70,0.000000,0,0,4,0.000000,0,0
229.979996,8.081125,98.906586,0.000000,96.000000,0.000000,5326,71,0.000000,0,0,4,0.000000,0,0
230.979996,8.081298,98.906525,0.000000,96.000000,0.000000,5281,72,0.000000,0,0,4,0.000000,0,0
231.979996,8.081473,98.906464,0.000000,96.000000,0.000000,5296,71,0.000000,0,0,4,0.000000,0,0
232.979996,8.081648,98.906410,0.000000,95.000000,0.000000,5128,70,0.000000,0,0,4,0.000000,0,0
